"Mass","L1","L2","L3","L4","L5","L6","L7","L8","L9"
92.9,NA,NA,NA,NA,0.379777288974429,NA,NA,NA,NA
96,NA,NA,NA,NA,1.64627440197965,8.14950980392157,4.09185082872928,NA,NA
97.1,NA,NA,NA,NA,0.543029969755293,NA,NA,0.0235029419578671,0.800449982692973
101.1,NA,NA,NA,NA,1.02075886719824,NA,NA,0.198450295367881,NA
105,NA,NA,NA,NA,1.07574924388232,NA,1.76450276243094,NA,2.16770508826584
106.1,NA,NA,NA,NA,0.402117129502337,NA,NA,0.0540994991248359,NA
107,NA,NA,NA,NA,0.302447071762442,NA,NA,NA,0.718241606092073
110,NA,NA,NA,NA,0.677069012922738,NA,NA,NA,NA
112.1,NA,NA,NA,NA,0.297291723948309,NA,NA,0.193175868912921,NA
114,NA,NA,NA,NA,1.04997250481166,NA,NA,NA,NA
116.1,NA,NA,NA,NA,2.21851800934836,1.21434937611408,1.96823204419889,0.524219384884666,NA
119.7,NA,NA,NA,NA,0.264641187792136,NA,NA,NA,NA
120.1,NA,NA,NA,NA,0.379777288974429,NA,NA,NA,NA
125.1,NA,NA,NA,NA,0.264641187792136,NA,NA,NA,NA
127.1,NA,NA,NA,NA,0.357437448446522,NA,NA,0.0700570810151903,NA
128.1,NA,NA,NA,NA,0.756117679406104,NA,NA,0.254442239169844,NA
129.1,NA,NA,NA,NA,3.01587847126753,NA,NA,2.13008689129212,NA
130,NA,NA,NA,NA,3.93181193291174,NA,2.14779005524862,NA,NA
136.1,NA,NA,NA,NA,1.00185592521309,2.84647950089127,NA,NA,NA
140.9,NA,NA,NA,NA,0.257767390706626,NA,NA,NA,NA
142,NA,NA,NA,NA,0.596301897167996,NA,NA,NA,NA
153.1,NA,NA,NA,NA,0.579117404454221,0.841131907308378,0.81146408839779,0.00993838688504094,0.956213222568363
154.1,NA,NA,NA,NA,1.05856475116855,NA,NA,0.0488494913108708,2.76479750778816
155.2,NA,NA,NA,NA,0.625515534781413,NA,NA,NA,NA
159,NA,NA,NA,NA,1.21838053340665,NA,2.54488950276243,NA,NA
160.9,NA,NA,NA,NA,0.43476766565851,NA,NA,NA,NA
163.9,NA,NA,NA,NA,0.259485839978004,NA,NA,0.00340640041882853,NA
165.7,NA,NA,NA,NA,0.297291723948309,NA,0.921961325966851,NA,NA
167,NA,NA,NA,NA,0.257767390706626,NA,0.68024861878453,NA,NA
